topology,camouflage,seed,n_nodes,n_edges,n_ring_edges,model,explainer,node,precision,recall,f1,random_expectation,lift,n_candidates,n_relevant,k
clique,0.0,0,848,1812,168,gcn,grad,836,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6511627906976745,0.9872448979591837,43,28,28
clique,0.0,0,848,1812,168,gcn,random,836,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6511627906976745,0.9323979591836733,43,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,846,0.5,0.5,0.5,0.5833333333333334,0.8571428571428571,48,28,28
clique,0.0,0,848,1812,168,gcn,grad,846,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.5833333333333334,0.7959183673469388,48,28,28
clique,0.0,0,848,1812,168,gcn,random,846,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5833333333333334,1.1020408163265307,48,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,840,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.6666666666666666,1.3392857142857144,42,28,28
clique,0.0,0,848,1812,168,gcn,grad,840,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.8571428571428571,42,28,28
clique,0.0,0,848,1812,168,gcn,random,840,0.75,0.75,0.75,0.6666666666666666,1.125,42,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,830,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.3181818181818182,1.1224489795918369,88,28,28
clique,0.0,0,848,1812,168,gcn,grad,830,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.3181818181818182,2.13265306122449,88,28,28
clique,0.0,0,848,1812,168,gcn,random,830,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3181818181818182,0.8979591836734694,88,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,828,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.6222222222222222,1.5497448979591837,45,28,28
clique,0.0,0,848,1812,168,gcn,grad,828,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.6222222222222222,0.860969387755102,45,28,28
clique,0.0,0,848,1812,168,gcn,random,828,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6222222222222222,1.090561224489796,45,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,822,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.717948717948718,0.8456632653061223,39,28,28
clique,0.0,0,848,1812,168,gcn,grad,822,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.717948717948718,0.8954081632653061,39,28,28
clique,0.0,0,848,1812,168,gcn,random,822,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.717948717948718,0.8954081632653061,39,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,800,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7368421052631579,0.9693877551020409,38,28,28
clique,0.0,0,848,1812,168,gcn,grad,800,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7368421052631579,0.9693877551020409,38,28,28
clique,0.0,0,848,1812,168,gcn,random,800,0.75,0.75,0.75,0.7368421052631579,1.017857142857143,38,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,827,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7,0.8163265306122449,40,28,28
clique,0.0,0,848,1812,168,gcn,grad,827,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7,0.9693877551020409,40,28,28
clique,0.0,0,848,1812,168,gcn,random,827,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7,0.9183673469387756,40,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,845,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.5185185185185185,0.8954081632653063,54,28,28
