,,,,,,precision,precision,random_expectation,random_expectation,lift,lift,n_candidates,n_candidates,n_relevant,n_relevant
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std
topology,camouflage,model,explainer,detected,k_mode,,,,,,,,,,
bipartite,0.0,gcn,random,1,k20,0.5444,0.1543,0.5446,0.1555,1.0142,0.1525,34.0,17.5242,16.0,0.0
bipartite,0.0,gcn,random,1,k3,0.552,0.3026,0.5446,0.1555,1.0015,0.541,34.0,17.5242,16.0,0.0
bipartite,0.0,gcn,random,1,k5,0.5488,0.2448,0.5446,0.1555,1.014,0.4412,34.0,17.5242,16.0,0.0
bipartite,0.0,gcn,random,1,oracle,0.5395,0.1672,0.5446,0.1555,0.9949,0.189,34.0,17.5242,16.0,0.0
bipartite,0.0,sage,gnnexplainer,0,k1,0.625,0.4885,0.5532,0.1592,1.2266,1.2716,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,gnnexplainer,0,k10,0.6321,0.2313,0.5532,0.1592,1.1586,0.5677,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,gnnexplainer,0,k20,0.6089,0.1665,0.5532,0.1592,1.145,0.494,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,gnnexplainer,0,k3,0.6071,0.3185,0.5532,0.1592,1.1488,0.9098,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,gnnexplainer,0,k5,0.6143,0.2926,0.5532,0.1592,1.1408,0.7501,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,gnnexplainer,0,oracle,0.6239,0.1809,0.5532,0.1592,1.1644,0.4967,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,gnnexplainer,1,k1,0.7258,0.4479,0.5545,0.1391,1.4441,1.275,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,gnnexplainer,1,k10,0.7194,0.1485,0.5545,0.1391,1.4623,0.9227,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,gnnexplainer,1,k20,0.6448,0.0894,0.5545,0.1391,1.3044,0.7461,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,gnnexplainer,1,k3,0.7366,0.2524,0.5545,0.1391,1.5047,1.0861,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,gnnexplainer,1,k5,0.7355,0.2172,0.5545,0.1391,1.4872,0.9912,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,gnnexplainer,1,oracle,0.6764,0.1045,0.5545,0.1391,1.3738,0.8097,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,grad,0,k1,0.7857,0.414,0.5532,0.1592,1.4754,1.0146,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,grad,0,k10,0.6964,0.122,0.5532,0.1592,1.5037,0.9232,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,grad,0,k20,0.6554,0.0616,0.5532,0.1592,1.3831,0.7902,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,grad,0,k3,0.8095,0.1782,0.5532,0.1592,1.6797,0.8943,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,grad,0,k5,0.7464,0.1452,0.5532,0.1592,1.5993,0.9648,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,grad,0,oracle,0.673,0.0908,0.5532,0.1592,1.4494,0.9077,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,grad,1,k1,0.621,0.4871,0.5545,0.1391,1.1477,1.0192,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,grad,1,k10,0.6694,0.117,0.5545,0.1391,1.3865,0.8486,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,grad,1,k20,0.6609,0.07,0.5545,0.1391,1.3418,0.7479,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,grad,1,k3,0.7097,0.1802,0.5545,0.1391,1.4483,0.8118,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,grad,1,k5,0.7016,0.1498,0.5545,0.1391,1.4244,0.7528,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,grad,1,oracle,0.6815,0.0907,0.5545,0.1391,1.4009,0.8469,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,ig,0,k1,0.7857,0.414,0.5532,0.1592,1.4754,1.0146,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,ig,0,k10,0.6964,0.122,0.5532,0.1592,1.5037,0.9232,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,ig,0,k20,0.6554,0.0616,0.5532,0.1592,1.3831,0.7902,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,ig,0,k3,0.8095,0.1782,0.5532,0.1592,1.6797,0.8943,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,ig,0,k5,0.7464,0.1452,0.5532,0.1592,1.5993,0.9648,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,ig,0,oracle,0.673,0.0908,0.5532,0.1592,1.4494,0.9077,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,ig,1,k1,0.621,0.4871,0.5545,0.1391,1.1477,1.0192,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,ig,1,k10,0.6694,0.117,0.5545,0.1391,1.3865,0.8486,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,ig,1,k20,0.6609,0.07,0.5545,0.1391,1.3418,0.7479,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,ig,1,k3,0.7097,0.1802,0.5545,0.1391,1.4483,0.8118,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,ig,1,k5,0.7016,0.1498,0.5545,0.1391,1.4244,0.7528,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,ig,1,oracle,0.6815,0.0907,0.5545,0.1391,1.4009,0.8469,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,random,0,k1,0.6607,0.4778,0.5532,0.1592,1.2221,1.1218,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,random,0,k10,0.5661,0.1919,0.5532,0.1592,1.0344,0.2635,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,random,0,k20,0.5634,0.1542,0.5532,0.1592,1.0375,0.1538,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,random,0,k3,0.5893,0.277,0.5532,0.1592,1.0856,0.5646,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,random,0,k5,0.6071,0.219,0.5532,0.1592,1.1464,0.4881,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,random,0,oracle,0.5525,0.1791,0.5532,0.1592,0.9979,0.2055,33.75,18.2928,16.0,0.0
bipartite,0.0,sage,random,1,k1,0.4839,0.5018,0.5545,0.1391,0.8463,0.9243,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,random,1,k10,0.5444,0.1939,0.5545,0.1391,0.9696,0.2776,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,random,1,k20,0.546,0.1522,0.5545,0.1391,0.9868,0.1397,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,random,1,k3,0.5618,0.3046,0.5545,0.1391,0.9815,0.5059,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,random,1,k5,0.5516,0.2438,0.5545,0.1391,0.9822,0.4003,32.4839,16.3938,16.0,0.0
bipartite,0.0,sage,random,1,oracle,0.5509,0.1624,0.5545,0.1391,0.9889,0.1574,32.4839,16.3938,16.0,0.0
bipartite,0.5,gcn,gnnexplainer,0,k1,0.0526,0.2294,0.2787,0.0949,0.1349,0.5879,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,gnnexplainer,0,k10,0.2947,0.187,0.2787,0.0949,1.0421,0.7367,68.8421,38.015,16.0,0.0
bipartite,0.5,gcn,gnnexplainer,0,k20,0.3158,0.1616,0.2787,0.0949,1.152,0.6649,68.8421,38.015,16.0,0.0
