,,,,,,precision,precision,random_expectation,random_expectation,lift,lift,n_candidates,n_candidates,n_relevant,n_relevant
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std
topology,camouflage,model,explainer,detected,k_mode,,,,,,,,,,
bipartite,1.0,gcn,gnnexplainer,0,k1,0.04,0.2,0.1557,0.049,0.155,0.775,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,gnnexplainer,0,k10,0.196,0.1881,0.1557,0.049,1.4293,1.5511,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,gnnexplainer,0,k20,0.224,0.1217,0.1557,0.049,1.5577,1.09,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,gnnexplainer,0,k3,0.1333,0.2357,0.1557,0.049,1.2132,2.4627,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,gnnexplainer,0,k5,0.136,0.1977,0.1557,0.049,1.1097,1.8356,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,gnnexplainer,0,oracle,0.2116,0.1248,0.1557,0.049,1.4859,1.1204,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,gnnexplainer,1,k1,0.272,0.4468,0.1479,0.0466,2.3768,4.2416,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,gnnexplainer,1,k10,0.3008,0.1377,0.1479,0.0466,2.3459,1.6119,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,gnnexplainer,1,k20,0.2692,0.0795,0.1479,0.0466,2.0366,0.9926,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,gnnexplainer,1,k3,0.3307,0.3038,0.1479,0.0466,2.8046,3.1348,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,gnnexplainer,1,k5,0.3408,0.2314,0.1479,0.0466,2.8274,2.5565,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,gnnexplainer,1,oracle,0.2729,0.0916,0.1479,0.0466,2.071,1.0815,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,grad,0,k1,0.12,0.3317,0.1557,0.049,0.785,2.1929,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,grad,0,k10,0.316,0.0554,0.1557,0.049,2.2601,0.9169,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,grad,0,k20,0.194,0.0416,0.1557,0.049,1.4068,0.6616,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,grad,0,k3,0.3333,0.2152,0.1557,0.049,2.2876,1.562,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,grad,0,k5,0.376,0.1665,0.1557,0.049,2.6215,1.2391,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,grad,0,oracle,0.224,0.0443,0.1557,0.049,1.6213,0.7391,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,grad,1,k1,0.44,0.4984,0.1479,0.0466,3.3497,4.2453,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,grad,1,k10,0.3088,0.1093,0.1479,0.0466,2.4156,1.4399,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,grad,1,k20,0.2312,0.0634,0.1479,0.0466,1.782,0.938,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,grad,1,k3,0.4347,0.2815,0.1479,0.0466,3.3789,2.81,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,grad,1,k5,0.3968,0.1866,0.1479,0.0466,3.0761,2.0118,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,grad,1,oracle,0.2477,0.0661,0.1479,0.0466,1.901,0.9584,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,ig,0,k1,0.72,0.4583,0.1557,0.049,5.0676,3.6807,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,ig,0,k10,0.332,0.09,0.1557,0.049,2.2928,0.7804,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,ig,0,k20,0.248,0.0549,0.1557,0.049,1.7227,0.5912,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,ig,0,k3,0.5333,0.2152,0.1557,0.049,3.802,2.02,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,ig,0,k5,0.472,0.1621,0.1557,0.049,3.2729,1.4069,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,ig,0,oracle,0.2613,0.0698,0.1557,0.049,1.8289,0.7013,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,ig,1,k1,0.504,0.502,0.1479,0.0466,3.9094,4.3828,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,ig,1,k10,0.3664,0.0706,0.1479,0.0466,2.7899,1.1928,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,ig,1,k20,0.2828,0.0629,0.1479,0.0466,2.1453,0.9144,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,ig,1,k3,0.488,0.2761,0.1479,0.0466,3.6817,2.6272,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,ig,1,k5,0.4592,0.1796,0.1479,0.0466,3.4987,2.0129,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,ig,1,oracle,0.2969,0.0708,0.1479,0.0466,2.2371,0.9281,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,random,0,k1,0.12,0.3317,0.1557,0.049,0.83,2.4411,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,random,0,k10,0.176,0.148,0.1557,0.049,1.0984,0.9182,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,random,0,k20,0.16,0.0935,0.1557,0.049,1.0087,0.545,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,random,0,k3,0.1467,0.1689,0.1557,0.049,1.0273,1.263,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,random,0,k5,0.192,0.147,0.1557,0.049,1.247,1.0662,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,random,0,oracle,0.1608,0.1259,0.1557,0.049,1.0017,0.7419,117.96,45.4225,16.4,0.7638
bipartite,1.0,gcn,random,1,k1,0.12,0.3263,0.1479,0.0466,0.7462,2.1817,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,random,1,k10,0.1408,0.1296,0.1479,0.0466,0.9286,0.85,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,random,1,k20,0.1508,0.0859,0.1479,0.0466,1.0212,0.5287,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,random,1,k3,0.1173,0.1759,0.1479,0.0466,0.7606,1.1992,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,random,1,k5,0.1248,0.1517,0.1479,0.0466,0.8176,1.0241,126.416,51.9179,16.528,1.0046
bipartite,1.0,gcn,random,1,oracle,0.1491,0.0938,0.1479,0.0466,1.0039,0.5684,126.416,51.9179,16.528,1.0046
bipartite,1.0,sage,gnnexplainer,0,k1,0.1667,0.3755,0.1473,0.0462,1.1332,2.7072,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,gnnexplainer,0,k10,0.2606,0.1357,0.1473,0.0462,1.8759,1.1619,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,gnnexplainer,0,k20,0.2992,0.1104,0.1473,0.0462,2.1994,1.1278,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,gnnexplainer,0,k3,0.1919,0.2415,0.1473,0.0462,1.3324,1.8027,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,gnnexplainer,0,k5,0.2091,0.1734,0.1473,0.0462,1.5196,1.3321,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,gnnexplainer,0,oracle,0.2939,0.1084,0.1473,0.0462,2.1545,1.0962,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,gnnexplainer,1,k1,0.312,0.4652,0.1463,0.0449,2.4798,4.0498,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,gnnexplainer,1,k10,0.3664,0.1675,0.1463,0.0449,2.8119,1.7824,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,gnnexplainer,1,k20,0.3224,0.0983,0.1463,0.0449,2.4576,1.2087,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,gnnexplainer,1,k3,0.368,0.3247,0.1463,0.0449,2.8678,2.756,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,gnnexplainer,1,k5,0.3744,0.2462,0.1463,0.0449,2.8703,2.2621,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,gnnexplainer,1,oracle,0.3439,0.1168,0.1463,0.0449,2.628,1.396,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,grad,0,k1,0.4242,0.498,0.1473,0.0462,2.9972,3.8153,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,grad,0,k10,0.3697,0.0784,0.1473,0.0462,2.8033,1.192,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,grad,0,k20,0.3038,0.081,0.1473,0.0462,2.2878,1.0369,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,grad,0,k3,0.4697,0.2337,0.1473,0.0462,3.4349,2.0742,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,grad,0,k5,0.4485,0.1571,0.1473,0.0462,3.1592,1.1936,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,grad,0,oracle,0.314,0.0751,0.1473,0.0462,2.3721,1.0329,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,grad,1,k1,0.496,0.502,0.1463,0.0449,3.6211,4.0671,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,grad,1,k10,0.36,0.0762,0.1463,0.0449,2.745,1.1753,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,grad,1,k20,0.2936,0.0698,0.1463,0.0449,2.2617,1.0083,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,grad,1,k3,0.4453,0.2278,0.1463,0.0449,3.3603,2.2027,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,grad,1,k5,0.4368,0.1574,0.1463,0.0449,3.3122,1.767,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,grad,1,oracle,0.3048,0.0662,0.1463,0.0449,2.3421,1.0429,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,ig,0,k1,0.4242,0.498,0.1473,0.0462,2.9972,3.8153,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,ig,0,k10,0.3697,0.0784,0.1473,0.0462,2.8033,1.192,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,ig,0,k20,0.3038,0.081,0.1473,0.0462,2.2878,1.0369,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,ig,0,k3,0.4697,0.2337,0.1473,0.0462,3.4349,2.0742,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,ig,0,k5,0.4485,0.1571,0.1473,0.0462,3.1592,1.1936,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,ig,0,oracle,0.314,0.0751,0.1473,0.0462,2.3721,1.0329,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,ig,1,k1,0.496,0.502,0.1463,0.0449,3.6211,4.0671,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,ig,1,k10,0.36,0.0762,0.1463,0.0449,2.745,1.1753,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,ig,1,k20,0.2936,0.0698,0.1463,0.0449,2.2617,1.0083,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,ig,1,k3,0.4453,0.2278,0.1463,0.0449,3.3603,2.2027,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,ig,1,k5,0.4368,0.1574,0.1463,0.0449,3.3122,1.767,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,ig,1,oracle,0.3048,0.0662,0.1463,0.0449,2.3421,1.0429,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,random,0,k1,0.1212,0.3289,0.1473,0.0462,0.7776,2.258,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,random,0,k10,0.1485,0.1304,0.1473,0.0462,0.9721,0.8747,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,random,0,k20,0.15,0.0957,0.1473,0.0462,0.9937,0.5447,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,random,0,k3,0.1313,0.1838,0.1473,0.0462,0.9155,1.2949,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,random,0,k5,0.1242,0.1348,0.1473,0.0462,0.8179,0.917,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,random,0,oracle,0.1518,0.1049,0.1473,0.0462,1.0033,0.6039,125.9394,45.1588,16.6667,1.086
bipartite,1.0,sage,random,1,k1,0.128,0.3354,0.1463,0.0449,0.8402,2.3557,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,random,1,k10,0.1424,0.1284,0.1463,0.0449,0.9379,0.8152,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,random,1,k20,0.1448,0.084,0.1463,0.0449,0.9915,0.5207,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,random,1,k3,0.112,0.1793,0.1463,0.0449,0.7344,1.2216,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,random,1,k5,0.1344,0.1582,0.1463,0.0449,0.8887,1.0646,125.52,47.8251,16.408,0.8433
bipartite,1.0,sage,random,1,oracle,0.1453,0.094,0.1463,0.0449,0.9824,0.5574,125.52,47.8251,16.408,0.8433
bipartite,2.0,gcn,gnnexplainer,0,k1,0.1034,0.3099,0.0845,0.0163,1.2899,3.9099,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,gnnexplainer,0,k10,0.2172,0.1441,0.0845,0.0163,2.7871,2.1755,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,gnnexplainer,0,k20,0.1948,0.0817,0.0845,0.0163,2.4561,1.2145,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,gnnexplainer,0,k3,0.1264,0.2073,0.0845,0.0163,1.5349,2.596,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,gnnexplainer,0,k5,0.1655,0.1778,0.0845,0.0163,2.0688,2.4261,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,gnnexplainer,0,oracle,0.1914,0.0801,0.0845,0.0163,2.3968,1.1536,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,gnnexplainer,1,k1,0.2,0.4016,0.0862,0.0159,2.5019,5.1791,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,gnnexplainer,1,k10,0.24,0.1535,0.0862,0.0159,2.9251,1.9467,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,gnnexplainer,1,k20,0.1988,0.0763,0.0862,0.0159,2.3751,0.9794,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,gnnexplainer,1,k3,0.232,0.2783,0.0862,0.0159,2.8911,3.7434,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,gnnexplainer,1,k5,0.248,0.2402,0.0862,0.0159,3.0782,3.2125,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,gnnexplainer,1,oracle,0.1966,0.0835,0.0862,0.0159,2.3446,1.0762,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,grad,0,k1,0.069,0.2579,0.0845,0.0163,0.86,3.2211,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,grad,0,k10,0.1966,0.1085,0.0845,0.0163,2.5145,1.6191,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,grad,0,k20,0.1517,0.0491,0.0845,0.0163,1.8974,0.793,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,grad,0,k3,0.1609,0.1915,0.0845,0.0163,2.1047,2.5089,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,grad,0,k5,0.2069,0.2103,0.0845,0.0163,2.7566,3.0461,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,grad,0,oracle,0.1498,0.0568,0.0845,0.0163,1.8676,0.8569,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,grad,1,k1,0.088,0.2844,0.0862,0.0159,1.0671,3.4978,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,grad,1,k10,0.1896,0.0914,0.0862,0.0159,2.2829,1.2393,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,grad,1,k20,0.1368,0.0431,0.0862,0.0159,1.6366,0.5982,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,grad,1,k3,0.1627,0.2265,0.0862,0.0159,1.9809,2.8143,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,grad,1,k5,0.1728,0.1748,0.0862,0.0159,2.1161,2.2487,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,grad,1,oracle,0.1386,0.0496,0.0862,0.0159,1.6623,0.6864,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,ig,0,k1,0.2759,0.4549,0.0845,0.0163,3.67,6.1517,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,ig,0,k10,0.3103,0.0618,0.0845,0.0163,3.7313,0.7491,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,ig,0,k20,0.1914,0.027,0.0845,0.0163,2.3251,0.4726,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,ig,0,k3,0.3448,0.1886,0.0845,0.0163,4.3069,2.6991,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,ig,0,k5,0.3724,0.1279,0.0845,0.0163,4.5597,1.7666,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,ig,0,oracle,0.1867,0.0428,0.0845,0.0163,2.24,0.5182,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,ig,1,k1,0.176,0.3824,0.0862,0.0159,2.0555,4.5276,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,ig,1,k10,0.2736,0.096,0.0862,0.0159,3.2908,1.3093,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,ig,1,k20,0.1756,0.0351,0.0862,0.0159,2.1089,0.5921,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,ig,1,k3,0.264,0.2443,0.0862,0.0159,3.1998,2.9986,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,ig,1,k5,0.3136,0.1872,0.0862,0.0159,3.8232,2.4797,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,ig,1,oracle,0.1795,0.0397,0.0862,0.0159,2.1504,0.639,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,random,0,k1,0.069,0.2579,0.0845,0.0163,0.6567,2.4796,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,random,0,k10,0.0862,0.0875,0.0845,0.0163,1.0541,1.0399,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,random,0,k20,0.1,0.0551,0.0845,0.0163,1.1963,0.682,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,random,0,k3,0.092,0.1759,0.0845,0.0163,1.1528,2.1032,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,random,0,k5,0.069,0.1105,0.0845,0.0163,0.846,1.3059,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,random,0,oracle,0.1056,0.0562,0.0845,0.0163,1.2555,0.6619,251.2414,65.72,20.3793,3.1329
bipartite,2.0,gcn,random,1,k1,0.048,0.2146,0.0862,0.0159,0.5311,2.4052,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,random,1,k10,0.0712,0.085,0.0862,0.0159,0.8081,0.944,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,random,1,k20,0.0852,0.0651,0.0862,0.0159,0.9778,0.7323,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,random,1,k3,0.0507,0.1202,0.0862,0.0159,0.5735,1.3834,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,random,1,k5,0.0656,0.1158,0.0862,0.0159,0.7212,1.2536,243.568,69.5236,20.2,3.9452
bipartite,2.0,gcn,random,1,oracle,0.0826,0.0657,0.0862,0.0159,0.9565,0.7509,243.568,69.5236,20.2,3.9452
bipartite,2.0,sage,gnnexplainer,0,k1,0.0822,0.2766,0.0825,0.0136,1.0482,3.5655,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,gnnexplainer,0,k10,0.1918,0.1299,0.0825,0.0136,2.4236,1.7129,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,gnnexplainer,0,k20,0.1712,0.0905,0.0825,0.0136,2.1437,1.1963,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,gnnexplainer,0,k3,0.1233,0.2116,0.0825,0.0136,1.6327,2.9194,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,gnnexplainer,0,k5,0.1589,0.1914,0.0825,0.0136,2.1051,2.681,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,gnnexplainer,0,oracle,0.1715,0.0895,0.0825,0.0136,2.14,1.1837,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,gnnexplainer,1,k1,0.128,0.3354,0.0854,0.0153,1.586,4.2022,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,gnnexplainer,1,k10,0.1984,0.1225,0.0854,0.0153,2.3782,1.498,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,gnnexplainer,1,k20,0.1612,0.081,0.0854,0.0153,1.9252,1.0009,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,gnnexplainer,1,k3,0.144,0.2131,0.0854,0.0153,1.7893,2.7604,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,gnnexplainer,1,k5,0.184,0.1658,0.0854,0.0153,2.2391,2.0817,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,gnnexplainer,1,oracle,0.1663,0.0835,0.0854,0.0153,1.9832,1.0013,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,grad,0,k1,0.3288,0.473,0.0825,0.0136,3.9188,5.743,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,grad,0,k10,0.2836,0.0764,0.0825,0.0136,3.5374,1.1284,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,grad,0,k20,0.1884,0.0377,0.0825,0.0136,2.3531,0.637,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,grad,0,k3,0.3973,0.2198,0.0825,0.0136,4.8843,2.7761,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,grad,0,k5,0.3534,0.151,0.0825,0.0136,4.3541,1.8901,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,grad,0,oracle,0.1925,0.0467,0.0825,0.0136,2.4077,0.7346,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,grad,1,k1,0.344,0.477,0.0854,0.0153,4.2115,5.9564,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,grad,1,k10,0.2864,0.0836,0.0854,0.0153,3.4771,1.2211,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,grad,1,k20,0.1936,0.0421,0.0854,0.0153,2.348,0.7296,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,grad,1,k3,0.3467,0.2334,0.0854,0.0153,4.1832,2.9952,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,grad,1,k5,0.3248,0.1538,0.0854,0.0153,3.8984,1.9509,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,grad,1,oracle,0.2026,0.0478,0.0854,0.0153,2.4455,0.7428,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,ig,0,k1,0.3288,0.473,0.0825,0.0136,3.9188,5.743,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,ig,0,k10,0.2836,0.0764,0.0825,0.0136,3.5374,1.1284,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,ig,0,k20,0.1884,0.0377,0.0825,0.0136,2.3531,0.637,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,ig,0,k3,0.3973,0.2198,0.0825,0.0136,4.8843,2.7761,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,ig,0,k5,0.3534,0.151,0.0825,0.0136,4.3541,1.8901,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,ig,0,oracle,0.1925,0.0467,0.0825,0.0136,2.4077,0.7346,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,ig,1,k1,0.344,0.477,0.0854,0.0153,4.2115,5.9564,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,ig,1,k10,0.2864,0.0836,0.0854,0.0153,3.4771,1.2211,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,ig,1,k20,0.1936,0.0421,0.0854,0.0153,2.348,0.7296,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,ig,1,k3,0.3467,0.2334,0.0854,0.0153,4.1832,2.9952,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,ig,1,k5,0.3248,0.1538,0.0854,0.0153,3.8984,1.9509,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,ig,1,oracle,0.2026,0.0478,0.0854,0.0153,2.4455,0.7428,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,random,0,k1,0.0274,0.1644,0.0825,0.0136,0.3328,2.0069,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,random,0,k10,0.0726,0.0786,0.0825,0.0136,0.8898,0.9757,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,random,0,k20,0.0877,0.0582,0.0825,0.0136,1.071,0.7201,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,random,0,k3,0.0502,0.1201,0.0825,0.0136,0.6478,1.5692,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,random,0,k5,0.0603,0.109,0.0825,0.0136,0.7263,1.2774,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,random,0,oracle,0.0856,0.0567,0.0825,0.0136,1.0419,0.6906,258.1233,57.9327,20.8082,3.7218
bipartite,2.0,sage,random,1,k1,0.08,0.2724,0.0854,0.0153,0.8874,3.0664,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,random,1,k10,0.0856,0.0886,0.0854,0.0153,1.006,1.0383,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,random,1,k20,0.0864,0.0643,0.0854,0.0153,1.0068,0.7466,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,random,1,k3,0.0827,0.1564,0.0854,0.0153,0.964,1.8051,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,random,1,k5,0.0864,0.1227,0.0854,0.0153,1.0045,1.4477,241.24,70.3414,19.808,3.841
bipartite,2.0,sage,random,1,oracle,0.0864,0.065,0.0854,0.0153,1.0128,0.7611,241.24,70.3414,19.808,3.841
clique,0.0,gcn,gnnexplainer,1,k1,0.856,0.3525,0.6107,0.1314,1.5229,0.8587,49.304,16.9126,28.0,0.0
clique,0.0,gcn,gnnexplainer,1,k10,0.74,0.2024,0.6107,0.1314,1.2975,0.5403,49.304,16.9126,28.0,0.0
clique,0.0,gcn,gnnexplainer,1,k20,0.7044,0.1572,0.6107,0.1314,1.2235,0.4366,49.304,16.9126,28.0,0.0
clique,0.0,gcn,gnnexplainer,1,k3,0.8053,0.2511,0.6107,0.1314,1.4355,0.7133,49.304,16.9126,28.0,0.0
clique,0.0,gcn,gnnexplainer,1,k5,0.7648,0.2437,0.6107,0.1314,1.3499,0.6475,49.304,16.9126,28.0,0.0
clique,0.0,gcn,gnnexplainer,1,oracle,0.6597,0.13,0.6107,0.1314,1.1269,0.3161,49.304,16.9126,28.0,0.0
clique,0.0,gcn,grad,1,k1,0.128,0.3354,0.6107,0.1314,0.198,0.5326,49.304,16.9126,28.0,0.0
clique,0.0,gcn,grad,1,k10,0.5984,0.1122,0.6107,0.1314,1.0651,0.4618,49.304,16.9126,28.0,0.0
